text,y_true,wrong_LogReg,wrong_SVM,wrong_NB,wrong_RF,wrong_RoBERTa,wrong_DistilBERT,wrong_BERT
"I really wanted to like this book. The message that a parent will love their child no matter how frustrated they get was so touching, yet completely derailed by the mother's later unhealthy, obsessive exhibits of her love. Sneaking across town and into your grown child's house is not a healthy way to show love. Metaphor or not the author could have shown the steadfastness of parental love throughout time in a much better way. I'd recommend Lisa McCourt's ""The Most Thankful Thing"" instead of this book.",0,False,False,False,False,True,False,False
"The idea here was one I had a ton of hope for.  There is a reason that games like Stardew Valley and Rune Factory work, and that is that people love the idea of helping rebuild a small community through farming and adventure.  And so the idea that a young man winds up falling through a portal and taking over a small farm on a rock floating in the sky seemed like a tale with tons of potential.  Sadly, the three female characters here all were the type that I hate.  They existed as tropes and were lacking in much agency.  Each one was designed as a fantasy for the author, and it was clear he was seeing himself as the main character.  Some readers will love that, but for me it ended up lacking.  I want to read about people I'd enjoy meeting and chatting with.  I actually have a hard time putting myself in the role of the main character in most tales, and this kind of harem fantasy definitely is not a genre that draws me in easily.  This was one of the worst of the genre in my opinion.  As I said, I disliked the three female characters due to their lack of agency and personality.  But I will warn, that my opinion is based on my personal preferences.  I expect someone who likes this kind of tale will very much enjoy this book.",0,False,False,False,True,True,False,False
"Holly Black's ""Tithe"" is based on Celtic folklore of faeries and changelings; faeries who were switched in place of human babies. The protagonist Kaye is a world-weary sixteen, tired of fishing her mother's head out of toilets and hauling her home from seedy dives after she's too drunk to stand up. Kaye dropped out of high school in order to work at a Chinese restaurant to earn money to support her mother in-between her mom's abusive boyfriends and succession of run-down apartments.  Her friends Janet and Corny are also on similarly dead-end paths. Corny dreams of drive-bys and killing people and is full of suppressed rage. Kaye's mom sees nothing wrong with her daughter getting drunk enough to pass out, or to do drugs, or waking up in bed with a stranger; so much for a strong mother figure. This is not a book for sensitive readers; you have alcoholism, drugs, rape, violence, and torture.  As a child, Kaye imagined that she saw faeries, and when she concentrates, she can cause things to happen. This all comes to a head one night after a strange encounter with a mysterious wounded man in a forest; Roibin is a faerie prince of the Unseelie court, and associating with him brings Kaye and her magical friends into danger as they are swept into the brutal conflict between the two rival faerie kingdoms. Kaye learns that she's been leading a double life, and tries to wrap her head around the fact that her childhood memories of faeries and magic are in fact true.  The novel is briskly paced, alternating between Kaye's grim urban reality of poverty and violence and the magical world that she is now a part of. Black does a good job incorporating elements of faerie lore from classic literature and folklore;  each chapter begins with a verse related to Kaye's predicament taken from poetry, including Shakespeare, Rilke and Teasdale.  The ending is clearly set up for the sequel [[ASIN:0689868219 Ironside: A Modern Faery's Tale]].  As a child, I was mesmerized by faeries, beginning with [[ASIN:0618150730 The Perilous Gard]] and Josepha Sherman's [[ASIN:0802781128 Child of Faerie, Child of Earth]] and [[ASIN:0802782590 Windleaf]]. Tithe is a fine heir to these tales of beautiful, otherworldly beings and the intricacies of their courts and rituals.",1,True,True,True,True,False,True,True
"I just returned from a week in Ireland and used the Lonely Planet Discover Ireland while traveling. I found it concise, colorful, chock full of information and containing loads of maps and visitor site information. I typically use Frommer's guides when I have gone to Europe in the past, so this was my first use of the Lonely Planet series. I would highly recommend the book for anyone traveling to the Emerald Isle as an alternative to what I feel can sometimes be the complexity of Frommers. I have also obtained the Lonely Planet guide to Italy which I have not, as of yet, been able to use. Hope to travel there in the late Fall time frame and will be reviewing that one as well upon my return. However, I am fully confident that the book will serve me as this one on Ireland did.",1,True,True,True,True,False,False,False
"Bell wrote this when he was very young. In the preface he even hints at embarrassment over its overambitious breadth. His later ""What Is Painting?"" is MUCH better.",0,False,False,True,False,True,False,False
I like the story. Page turner book.,1,True,True,False,True,False,False,False
and if it gets warm its going it rolls I really dislike that paper but  its great for alcohol markers but something causes it to curl up and turn nasty its a shame really because the designs are nice,0,True,True,True,True,True,False,False
I purchased this as a bday gift for a darling little boy. The kids love it! Its so fun to read to the kids,1,False,False,False,False,False,False,False
"I'm not sure how many times I'll try to get through this book.  I've made 4 attempts and the writing has turned me off each time.  I can't get through the beginning to see if there is enough plot to entertain me.  That's about all I can say.  I don't like the main character, I can't get into the tale.  It just wasn't a book I can recommend.",0,False,False,False,False,True,False,False
The history of southern Baptist was very accurate. Love that the book also discussed the articles of faith. This book is very easy to read and understand Baptist doctrine. Anyone can read this and truly get an understanding Of Baptist history and traditions.,1,True,True,True,False,False,False,False
"Ben Mikaelsen's Touching Spirit Bear is the gripping tale of Cole Matthews, juvenile delinquent who's about to be sentenced to jail time for assaulting a fellow student. Tough-as-nails Cole feels like the world is out to get him and it's his right to smash senseless all who defy him; his alcoholic father beats him, and his alcoholic mother enables it by keeping silent. Cole blames everyone but himself for his anger.  Cole's Tlingit parole officer Garvey insists on trying an alternative to jail time called Circle Justice. This ancient healing ritual is based on the Native American / First Nations practice of having the accused perform a vision quest and community service in order to address the roots of his anger and to try and offset the harm he's caused. Cole puts on a show, hoping that the yearlong banishment on an Alaskan island offers the chance to escape.  Once on the remote Alaskan island, Cole lashes out and seeks escape, only to find himself stranded and angry. He runs into a large white bear: a Spirit Bear, an animal sacred to Native Americans. Cole is outraged that the bear doesn't fear him, and attempts to kill it with devastating consequences.  The remainder of Touching Spirit Bear chronicles Cole's rehabilitation from his injuries, along with his newfound empathy towards Peter, the student whom he assaulted. Peter is left with permanent brain damage and severe depression, and Cole thinks he knows a way to help him get over his fear and anger.  Touching Spirit Bear is at heart a story of wilderness survival, but it also teaches respect for one's ancestors and for nature. Cole learns to dance animal dances based on creatures he's observed in the wilderness; each improvised dance teaches him some strength of the animal. He soaks in a freezing pond to still his thoughts and carries a large stone up a hill, representing his ancestors, then rolls it down, releasing his anger. This might sound preachy and touchy-feely, but it works in the harsh context of the wilderness as Cole gradually learns to control his anger. The Tlingit (Garvey and Edwin) aren't represented as ""perfect""; each is atoning for some crime committed in the past. Garvey in particular served five years in jail and wasn't offered the healing that Circle Justice provides.  The story does contain some graphic moments (the brutal beating of Peter, Cole's mauling), but uses violence sparingly. The powerful nature imagery really brought the story to life. This would be a good pick for those who enjoy wilderness survival tales such as [[ASIN:1416936475 Hatchet]], [[ASIN:0786272546 Island of the Blue Dolphins]] or [[ASIN:0060540958 Julie of the Wolves (rack)]].",1,False,True,True,True,False,True,True
Disappointed in the writing given the academic credentials of author... My fault I did not not notice only 84 pages! I love walking the streets of Paris and was interested in another's wanderings...,0,False,False,False,False,True,False,False
"Yes, my daughter loved the book. It has My Little Ponies in it. Not hard to make her like that. I think the book was extremely lacking. It is not a Beginning Reader at all. They replaced some words in the story with pictures. The words were too difficult for a Level 1 reader to read. This is just a cheap picture book with the word ""reader"" slapped on it so the extremely lacking plot would sell. A Level 1 Beginning Reader should contain simple words, repeating letter sequences, and repeating phrases. This book fails in all those areas. Yes, little girls will like it because it has My Little Ponies in it. But it really has zero educational value, which would be the entire point of a Beginning Reader.",0,False,False,False,False,True,False,False
"I chose this book for the same reason they went to France , and lived in the French manner.  It's a lifestyle  that permits true enjoyment without the pressures of the nose to the grindstone. Living, feeling, tasting, hearing, savoring,  life not drudgery",1,True,True,True,True,False,False,False
I choose this rating because I had to keep reading this book. I could not put it down as I wanted to know what happened next,1,True,True,True,True,False,True,False
"This book is poorly written. The author takes much time setting up scenarios and building characters only to have them fizzle out in the most uninteresting ways. Boring. The author gives you all this build up, and then there is this dud of a climax that leaves you thinking, ""This is it?"" The book is a giant bore. I also did not appreciate the author's tone toward the former president. I mean, that in and of itself dated the book. I also did not appreciate the semi-spiritual but agnostic tone of the book. It was anti-Christian, which I do not like. For parents: The book has no foul language. There are a few references to sex, but nothing in detail. It is anti-Christian and agnostic in its tone.",0,False,False,False,False,True,False,False
"Man I hate to thrash somebody's book, but after dusting this thing off today to see whether I could get anything new out of it, I feel duty bound to save others from the frustration I experienced.  I got a bachelor's degree for guitar performance, and I have played in rock, blues, country, dance, variety, etc band since I was a kid. I have always felt like I have the right kind of mind for improvisation - I improvise well in those other genres - but I never got bit hard to make a serious study of jazz about 2 years ago. This book was the only book I bought to supplement transcription as my tutor.  So - yeah, first mistake right there. If you want to avoid my bad experience, be smart and buy a bookshelf's worth of books.  Now that I am off the ground as a jazz improviser (tho I wouldn't say good by any broad set of criteria - give me a decade to work on good), I can say that this book seems mislabeled.  I think the ideas in the book are novel and informative, especially for a composer who wanted to analyze jazz solos and make sense out of them - maybe develop a vocabulary of motives and develop them in a familiar classical composition process - but I don't see this a great tool for the woodshed in its current form.  For a new edition, I would like to see less - none, in fact - of the totally abstract permutation stuff like intervals on p19, and much more of the cookbook type stuff starting on p139.  I now understand where this book was coming from, but I simply didn't benefit much from it.",0,False,False,False,False,True,True,True
We love this book and the FOUND book also by Salina Yoon.,1,False,False,False,False,False,False,False
Very disappointed. I expected more out of this book for the price it is. The author mostly just rambles and jumps from one subject and movie to another. It was a bore.,0,False,False,False,False,True,False,False
Good product,1,True,True,True,True,False,False,False
"It is one of the best gothic romance I have read in years. I love a good ghostly story and although I wish more was made of the ghosts, this book was still nothing but exceptional.  Set in 1875 New York City, “The Widow of Rose House” follows Alva Webster, a widow with a dark secret. For the past two years rumours have been rife regarding her departure from her abusive husband and his subsequent death. To get away and start again she heads back to New York and there acquires Liefdehuis, an old decrepit ramshackle of a mansion with complimentary ghosts for which she has big plans. Shortly after purchasing the mansion, Alva receives a visit from Professor. Samuel Moore, a very dapper inventor who wishes to study the house in order to learn more about its supernatural inhabitants. What unfolds is a beautiful and fervent relationship which restores Alva’s faith in love again after a previous abusive relationship with her now-departed ex-husband.  “The Widow of Rose House” is a glorious mix of romance and ghostly goings-on set in the Gilded Age of America. It is about finding oneself again, overcoming past trauma and conquering personal demons. This is an outstanding debut novel and although I don’t feel like this particular book will have a sequel, I am sincerely looking forward to reading more from the uber-talented Diana Biller.",1,False,False,False,False,False,False,True
"I'm honestly baffled by all the great reviews.  I kept waiting for the story to take off, for at least SOMETHING interesting or novel to happen.  But it didn't.  It just felt monotonous and without any texture or oomph at all.  After reading half of it, I just couldn't bring myself to finish.  Meh, meh, meh...",0,False,False,False,False,True,False,False
"Although there are numerous young adult novels that deal with WWII, I've run across few that deal with the horrors of WWI in such intimate detail. Thirteen-year-old Annie's father is a doctor, and she's waiting for him at the train station when she sees wounded soldiers being unloaded from the train: victims of mustard gas, shrapnel wounds, and other war injuries. This reality brings the war home for her in a way that simply reading about it in the papers couldn't.  Soon, Annie begins to spend time with the wounded soldiers at the veteran's hospital where her father works. Anne befriends a soldier wounded in a mustard gas attack and experiences the first stirrings of romance and adult responsibilities. Her initial revulsion at the wounded soldiers' appearances is believable as she has been sheltered from the realities of war by her mother, and her gradual infatuation with Andrew tenderly unfolds.  Overall, this was an inspiring novel that explored heroism, the meaning of sacrifice, and the high cost of war on all involved. I read this numerous times as a teenager, and recently purchased a copy in order to reacquaint myself with Annie's courage and the moving descriptions of patriotism and heroism.",1,False,True,False,False,False,False,True
"I ordered this book several years ago and reviewed it at that time.  However, Vine tells me that I did not review it.  I actually do remember liking this book a great deal, though I do not recall any specific details.  It is properly called ""women's fiction"" and is a light, enjoyable read.",1,True,True,True,True,False,False,False
"I’m a huge fan of Yuri on Ice!!!  and was looking forward to a different storyline from its creator. I am fairly new to reading manga in English,  and the reading format, from right to left, carries over from Japanese, so it can sometimes be difficult to follow panels.  The story was also made into a TV series which I have not watched yet.  The central idea to the story is a bit like Groundhog Day, the main character Imamura Kinichirou hits his head and is transported back to the beginning of his high school years.  At the beginning of the story, he is a loner and  distrusted by other students,  failing to have made any friends or join any clubs.  When he has the chance to start high school over, he makes different choices and tries to improve the outcome.  The original Japanese version came out in 2011, the English version came out this year.  I enjoyed the storyline and characters and look forward to continuing with his adventures!",1,True,True,True,True,False,False,True
Prettiest Tarot deck I have seen. This is my first real tarot deck and I gotta say I love it! The cards drawings really spoke to me! and they're very pretty ethereal drawings! The cards are easy to handle but I'm not sure about the thickness or how long they'd last if used on a regular basis. The book is very useful as well for beginners like myself :D They are definitely a pretty collection to have !,1,False,False,False,False,False,False,False
"Deacon King Kong is a funny, tragic, sweet, ugly, pulls no punches but finds good in the world around every corner book. It is McBride's meticulous attention to the humanity, humor, danger, ambivalence and values (good and bad) of every single character that fills Deacon King Kong with heart and humor. Because, while its subjects are a small black church, a sprawling public housing complex, an old neighborhood of deteriorating brownstones once occupied by only Italians, organized crime actors playing big time to small time roles, the New York Harbor, New York public servants in general and the police in particular,  the individual people form the bricks and mortar of Deacon King Kong.  There are numerous players, but one dominates. He's a 79 year old man called ""Sportcoat."" As a child, he was ""cursed"" with illnesses and one of the many healers his mother used, after casting her spells, told his mother not to call him by his given name for a period of time. So she called him Sportcoat.  He grew up in South Carolina, falling in love with Hettie, who moved north to New York City as a young woman, with plans Sportcoat would join her.  She imagined him using his green thumb to grow moonflowers and work with the earth, but Sportcoat transplanted to Brooklyn was a disappointment to her, though they loved each other.  When he joined her at the ""Cause"" Housing Projects, he took to heavily drinking homemade moonshine called King Kong and worked odd menial odd jobs, only one related to gardening.  That one was for a woman Sportcoat called Mrs. Four Pies, an Italian woman who had just baked four pies the day he started gardening for her.  He wasn't sure of her real name.  Hettie, a churchwoman, kept their little family going, including their ""son"" Pudgy Fingers.  Sportcoat is a Deacon in the church Hettie helped to found, ""Five Ends,"" right by the edge of their complex and the center of life for a diminishing congregation.  Its oldest member, 106 year old Sister John, hasn't been to the church in years, but tithes $4.13 a week, sending it faithfully from the ""old folks home"" where she settled.  It is 1969. Hettie walked into the harbor and died two years ago.  Then and now, Sportcoat is drunk all the time.  He talks to, and argues with, the deceased Hetty, who failed to let him know where the Five Ends Christmas money box was hidden.  People donated all year long so they would have money to buy presents for family and Hetty died without distributing their money.  Sportcoat  worries about this, about where he'll get his next bottle of King Kong, and about baseball.  It has been some years since he was the umpire for the Cause baseball team and their competitive games with the nearby projects, ""the Watch.""  Sportcoat had a star pitcher, Deems, but now Deems is selling drugs at the flagpole plaza each day, starting his work day as soon as the seniors, who gather there, in the morning depart.  Deems could have gone far.  He had a college scholarship and he ditched it all for a life of crime.  His suppliers are part of organized crime. McBride does an amazing job imagining the conversations Deems handlers have about the shooting, the machinations among factions of the criminal element and the levels of criminal behavior the various players are willing or quite interested in engaging in.  As the story begins, we quickly learn that Sportcoat walked up the Deems, chewed him out about baseball and shot him, but Sportcoat doesn't remember this.  Not only are the police involved, but Deems is successful as a dealer and his suppliers are unhappy.  So Earl is sent to mess Sportcoat up and teach him a lesson. At this point, there is a three stooges feel to Deacon King Kong, as Sportcoat repeatedly evades discovery or harm while refusing to flee to a safer place.  People are betting on his date of death.  His friends are begging him to take this seriously and he obviously thinks he is teflon because he was Deems' Sunday school teacher and coach. Various subplots commence as one wonderfully drawn character after another is drawn into the story.  We meet a huge variety of people, each engaging:  Hot Sausage, Sportcoat's best friend, is the Cause custodian, who distributes the mysteriously sourced hunks of good cheese that arrives monthly, controls the annual invasion of mysterious ants and works on the decrepit old generator necessary to feed electricity to numerous tenants. Rufus, maker of King Kong and custodian at the Watch hails from Sportcoat's home town and he is responsible for an identical generator.  Mrs. G, wife of Five End's minister keeps everything running like clockwork for her incompetent and disinterested husband and falls a little bit in love with the Irish police officer who's looking for Sportcoat, partly to warn him he's a target and partly to arrest him for shooting Deems.  We see a Latina wife whose husband left her for a man in Alaska; two cousins in the Five Ends choir who fell out years ago and express their hate for one another by each trying to be the loudest singer, bringing powerful emotional spirit to the congregation; Pudgy Fingers, Sportcoat's and Hetty's son who is a childlike adult, loved by all; the Elephant, son of the deceased Guido Elephanti, a small time organized crime guy who made a promise in jail to his Irish friend, ""The Governor""  that the Elephant now has to keep; and on and on.  Everyone knows everyone else and everyone knows everybody's business-- except that some people keep secrets.  And each person is a fully realized human with a backstory and values developed in the context of their upbringing and their surroundings.  I selected this book as one to listen to on Audible because I really like James McBride's writing and he won the 2021 Carnegie Medal for fiction for Deacon King Kong.  I am so glad I listened to it as the audiobook was very well narrated with accents and speaking styles appropriate to all.  I highly recommend this whether you prefer to read or listen to it.  I did not want it to end.  I could read about these people forever. Alas, as that is not possible, McBride was kind enough to wrap up every subplot neatly and left me satisfied.",1,False,True,True,True,False,False,False
Sucks,0,False,False,False,False,True,False,False
"As a Dan Brown novel, Origin is just okay, certainly no Da Vinci Code.  As one reviewer noted, the novel felt ""unauthentic,""  and for several reasons I agree.  It did not have the same flow as other Dan Brown novels.  And most of the plot elements seem to be pulled directly from the news of the past few years, not particularly original.  But for a novel written mostly by artificial intelligence (AI), if it was, it's not bad as a mass-produced Turing test.",0,False,False,False,False,True,False,False
"avoid this book.  bad information.  author writes the book to  fit his opinion.  facts are distorted, unchecked.  get it off  the shelf and into the trash.",0,False,False,False,False,True,False,False
I was interested in smudging and wanted to learn more about the herbs and which herbs are best for what.  This book has lots of good info in it.,1,False,True,False,True,False,False,False
"The author says the financial markets can't be controlled, pursuant to the 2008 crash and its aftermath.  He says the roots being the financialization of our economy, basically our major industry, based on debt/leverage to generate such huge profits it attracted many of our brightest minds away from pursuing more fundamentally sound careers to help society, all hidden in such complexity, it was, and still is, impossible to control. Further, the complexity bred mostly short term strategies, leading to a dysfunctional financial system.  Also, misguided thinking led to thinking globalization and technology reduced risks, but just increased risks.  And Dodd-Frank, he says is too complex, and the EU too flawed, for him to have much confidence.  He does say globalization and technology has led to more income inequality, and so much debt in the US made it worse by inflating asset prices. And he says this has led to more booms and busts, creating an intrinsically fragile economy intentionally because of the revolving door between Wall Street and government.  Anyway, I do recommend the book despite what I see as an omission like the funding of two wars and tax cuts for the rich, financed by lots of debt, making handling the crisis harder. Also, despite his pessimism, some of the US regulation is an improvement and though formal coordinated international regulation has not been achieved, there is more coordination than before. But, the book does present a good discussion of the risks in our financial system.",1,True,True,True,True,False,True,True
This book was definitely not what I was expecting at all! It was very cartoon like compared to other Monster book of Manga I have purchased. Very disappointed with this one.,0,False,False,False,False,True,False,False
Super dated photos!!,0,False,False,False,False,True,False,False
Boring and nothing really useful.,0,True,True,True,True,True,False,False
