text,label,rating
"I'm not one to use ear buds or head phones very frequently, but I saw these and for some unknown reason, I was interested. I followed the directions and charged them first before using them. They may have been partially charged to begin with, but I didn't check. Pairing it to my phone was probably the easiest pairing ever! There's a QRL code in the directions and scanning that was all it took. They are surprisingly comfortable to wear and don't annoy me at all. There are a couple of different sizes of the silicone ear piece  in case you need a larger or smaller size. I'm still learning how to use them, but I'm slowly getting the hang of it. Phone calls sound good and the recipients have been able to fully hear and understand me as well. You can lower or increase the sound by tapping the ear bud, but it's unnatural for me to do that, so about half of the time I keep using my phone to adjust the volume. I have been having fun with these!!",1,5.0
"This is a great little computer! For anyone looking at computers for gaming reasons but they do not have a large budget this is a great solution!  I was having low expectations due to the size of this but the graphics card keeps up great! Setup took no time at all, the compact design is great for having a low profile computer on my desk and hardly noticing it.  The 4 USBs' are slightly a let down but I already have a USB 3.0 hub so its really not a problem with that. I think its a $20 fix if someone has a lot of USB accessories.  The HDMI pass through option is awesome! Super convenient to still use my other computer for duel monitors for work.  I would highly suggest this if someone is on the fence about deciding what to get. Make sure to check the specs for the games you want to play but this should keep up well for the price of it!  Pros: -Perfect computer for gaming -Compact design -good specs -easy setup -comes with mouse & keyboard - HDMI passthrough  Cons: - 4 USB slots",1,5.0
"Overall this is a nice affordable zoom lens.  The aperture is nice and big offering great light collection. Used with my Celestron astromaster 130EQ, it doesn't maintain focus across the entire zoom range, requiring about a quarter turn of focus adjustment from 8 mm to 24 mm.  And yes mine does rattle too.  There are four lenses total, and the spacers and mechanisms aren't well-matched.  But none of this really impacts the quality of the images.  I unscrewed it all and tightened it which helped some, but not much.  I use some basic eyeglass lens cleaning wipes which unfortunately introduced more lint than it removed.  The Eclipse cleaning solution works well combined with a lint-free pad.  The focal points across the range typically focus precisely on at least one of the lens surfaces.  Which means that any tiniest piece of lint or speck can foul an image, especially bright ones.  So be prepared for that, and if the internal lenses are clean and you're trying to fix a slight rattle by opening it up, my advice is don't!  This aside, the lenses themselves are good quality, and I'm pleased with the bright sharp images and large field of view I can get with this zoom lens for the price.",1,4.0
Very disappointed. This is the second time I purchased a B&W filter from Amazon the came with a broken seal on box... dust on the filter glass... the plastic hinge on the filter box appears to have been opened multiple times ( the stress fractures you see on plastic hinges... and the foam was obviously disturbed.  Do not have time to return as I need to use lens now.  Last B&W lens I will buy from Amazon... Obviously previously opened.. optics appear ok but wont know until I can process. Has the green reflective hue shown on other negative reviews.. 77mm uv for Nikkor ultrawide angle zoom.  I have been purchasing camera lenses and filters since 1969... avoid this brand from this source,0,2.0
I have followed all instructions and watched the video but when I try to connect to the extender it says connected but no internet.,0,1.0
This remote does exactly what it's supposed to.,1,5.0
"The concept of being able to see who is at your door is great, but the Ring Doorbell Pro is not great.  When installing the product, the wire connectors would not accept and lock the wires, I had to purchase different wire connectors.  For the first three days, I kept losing power to the doorbell.  I would have to reinstall it, the wires won't stay connected tightly to the doorbell no matter how tightly the screws are.  I had to put a large amount of electrical tape to keep the screws from loosening and power being lost. After that the doorbell worked as it should for approximately 3 weeks, it then started getting knocked offline and needed to be reset continually.  If it was my wi-connection it would make sense that my other gadgets would also be losing their wi-fi connection, but that wasn't the case.  3 weeks ago my video view feed was black, no audio no picture.  I reinstalled the doorbell, but it was a black screen view.  I would get the notice that someone was at the door, but I could view them.  I contacted the Ring customer service.  After several days they replied, had me run some wi-fi diagnostics and send them screen shots.  They said I needed a Ring Pro Chime, because I needed a wi-fi extender.  If it worked okay at the first, why all of a sudden would it not work now?  No response was received back customer service.  I have not received the Ring Pro Chime as I was told I would to correct the problem.  I had an electrician check my power voltage where the doorbell is installed, he said I have the correct voltage according to their instructions.  As of today my doorbell is dead, it doesn't rind, video doesn't even pull up any longer.  This is not a good product and I would not recommend it to anyone.  It has been a waste of time and money.",0,1.0
Not impressed at all,0,2.0
not very useful,0,1.0
"Great price, nice container. The clips are a bit stiffer to open than the name brand ones that I have but I assume they will ease up with use.",1,4.0
Poor quality unit.I returned the purchase.,0,1.0
"Ok, so let me preface this by saying that when I was in my 20's I owned a great SLR camera and dragged it around with me everywhere. I even used to take a load of pictures at rock concerts, had interchangeable lenses, a variety of lenses... well, you get the 'picture'. I was a 'professional' amateur. Flash ahead to the 1990's and on, I have a family and start to look for new gadgets. I owned several point and click cameras over the past 20 years, concentrating mainly on small sizes and portability. I loved the fact that I could slip these cameras into my pockebook and pack up the kids to the park (without a huge camera bag). Unfortunately, the pictures were 'ok' but nothing like the quality I had when I owned the old fashioned SLR. Well, now that I am 50'ish and my kids are grown and gone, I figured I would treat myself to a new camera, in particular this Canon Rebel. All I can say is 'wow'! I love it, love it, love it. Having owned it for over a year now (bought it on Amazon but just never got around to writing a review), I have purchased several interchangeable lenses and even a separate flash (although it comes with it's own built in one, I prefer to control the flash myself). The Canon Rebel gives me the quality of the pictures I was used to and with the stabilization, my pictures come out clear and focused every time. I have even started going back to concerts (ok, so they are the same artists I was following when I was much younger) and I am feeling like a pro again. I have also gotten into wildlife and nature pictures and some of the pictures I have taken of flowers could match up with any professional photographer. If you are in the market for a compact SLR, this is the camera to buy!",1,5.0
"Really all you could want out of a BASIC NAS Upgraded to 16gb RAM .. Running RAID 6 .. 4 x 8TB drives now Works great ! pretty much saturates my 1 gigabit connection getting 104 mb/s reads and writes  (125 mb/s is max for 1 gigabit) considering an ssd cache .. but even without getting good speed, so may opt for a 5th hdd later (instead)  update 1/12/17 .. tried ssd cache and really found no speed improvement, so ditched and added a 5th HDD and also switched to RAID 6 .. which is more reliable .. Still working great getting 110 reads/writes now  update 10/18/17 .. still working great. Had some reboot issues but switched memory and where I had plugged in and seems to have stabilized for now.  Great buy when stable.  update 2/8/18 .. I off and on was having issues with this unit (dropping drives randomly) Tech support right away said I needed to send in for RMA (which I finally did) I had upgraded RAM, but luckily saved original otherwise they would not repair. They will only repair original setup. 2 weeks later got my unit back and now it's been stable (20 days no issues) Looks like they replaced a faulty mobo. Tech support for me was great, they have been very helpful. I still really like this unit for the price, but my Synology seemed like a better built product. Hopefully, after this repair it remains stable (so far so good)  4/15/2019 - The Unit has now dropped drives again, and is out of Warranty so will not RMA Basically 2 years of service with an RMA after 1 year, and dead after the second year. Will not buy QNAP again",0,2.0
Good head phones but they fall off your head constantly so it gets irritating.,0,2.0
Easy to instal and comfy,1,4.0
So easy to use and set up...,1,5.0
"I have used the Acer Predator for just over a month now, and this monitor is highly functional.  I purchased it to use with my personal and work computer.  It is wonderful having a monitor with a high resolution of 2560x1440. It has been extremely helpful when processing tasks for my work as I have a lot more screen real estate for my applications.  When gaming the screen is crisp and clear, and allows me to see a lot more with its high refresh rate. I still get owned in Escape from Tarkov, but at least I see who is killing me now :).  It has been an absolute joy to use. I would highly recommend.",1,5.0
"Up-date. I just had a accident on my property outside (on 9 acres on a river)  I could not get up,! could not move my leg , and my husband was on the other side of our home out side over looking the river on the phone ( of course!) No way he could hear me. If I would have had this in my hand ,and pulled the key chain my husband would have heard it to help me . Btw I do not carry m phone around with me , but now I will also, and the this key chain alarm. Uping this from 4 stars to 5.. ------------------ I thought this was a good idea for when my husband has to travel, and I’m by my self in the house..(live on a few acres). When you pull the key chain , it turns the alarm on or off. The sounds is deafening, to say the least! But great if you need it.  This can also be a motion detector if you put it on a door, safe etc.  I hope I never have to use this. I keep it in my homes near my bed, and if I go out at night shopping, I also keep it in my purse.",1,5.0
"It doesn't matter how good the sound quality is, or if they last, or if they tangle, or if they are magnetic, since they just plain do not fit my ears. They are going into the trash!",0,1.0
It was the wrong size for my phone.,0,1.0
"Honestly, this is a total gimmick. It’s cheap looking and flimsy. It sticks out an inch from the wall too. The only “neat” thing about it is the cord keeper in the back. But you’d get the same tidiness using a twisty tie. And a more high end look using a simple wood shelf. I would not order this again.",0,1.0
Cute!,1,5.0
"Hi!  I was very excited about this camera, having used the GoPro exclusively until now.  However, I have to say that I was extremely disappointed with the camera, the website support, the smartphone apps, and the PC software.  I found the camera manual extremely short on important info, such as what I could and could not do while the camera was attached to my computer via the USB cable.  There are no instructions anywhere (that I could find) for using the Connect app.  I guess they figure people will just touch the screen in various places to see what happens.  I was surprised to find that I could record from the Connect app, as info online said that all I could to was ""frame"" camera shots.  In addition, the camera itself did not work well.  The Storyteller software did download and install the latest firmware.  Here are some of the things I encountered:  1. The camera would ""hang"" regularly, as in every time I used it.  The only way to ""reset"" was to remove and replace the battery.  2. Bluetooth communication only worked about 50% of the time, using iPad, iPhone, and iPod.  3. I often had to ""reset"" the camera (battery re-install) for it to be recognized using the USB connection.  4. Record OFTEN didn't work!!  I tried to demo the camera to several people and it would not record unless I re-installed the battery.  5. The camera often would not STOP recording!  I would slide back the record switch and the RECORD light would remain on under it and on the bottom of the camera.  Again, the only resolution was a battery re-install.  I could find no help for ANY of these issues on the website.  I am VERY frustrated by the fact that they do not offer telephone support.  The Storyteller software is terrible, and very lacking in support.  It is necessary to eject the camera every time its configuration is reset!  This is very frustrating when the camera was only recognized by my computer on a seemingly random basis (I tried all my USB ports and even a different cable!).  I like many things about the Contour much better than the GoPro.  However, GoPro has the industry momentum, and if Contour wants to slow that down and gain some traction of its own, their product will need to work better and be much better supported. I think the Contour is a better camera, but the few problems I had with the GoPro were resolved quickly and easily with the information they provided.  I hope this product gets better.  Until it - and the support - improves, I can't use it or recommend it to anyone else! :)  hb  UPDATE:  Received a call from Contour Tech Support. They ""schooled"" me on the fact that everything taking place in this camera requires the SD card.  There isn't even a little on-board memory.  Thus, if the SD card doesn't work exactly right, neither will the camera.  Without an SD card working perfectly, all you have is a piece of hardware!  They suggested that I format the SD card with the utility at [...] (SD Formatter), and then re-format in the camera.  I have already sent back the camera, though!",0,2.0
I had to send it back. It was missing a part necessary part  for cable card.,1,5.0
"So... I own both the tower and now several dots.  Of course the dots are more reasonably priced, however, the speaker ability is really where it's vastly different.  Obviously the tower is much better in the speaker department.  However, I did find that there is a cordless speaker you can buy to go with your 2nd gen dot that is an improvement and still at lower price point than the tower when combined with the cost of the dot. (Mokcao cordless speaker - amazon sells it too) Because the dots are so reasonably priced we have them in all 3 major rooms and use the cordless speaker to drop one dot in and take it outside to our sunroom when we like.  Over all, I am pleased with both my tower AND dots... but probably will stick to dot purchases in the future because of the price point.  I would say if you've been on the fence, the dot is well worth a try.  It's very easy to set up, you will need to download the app, also easy to follow step by step setups.  Once you're hooked up you will be amazed at how often you use Alexa.  At our house she helps me keep track of where I am supposed to be every day... timers... night time meditation... the occasional argument and even plays games with us as well as much needed comedic relief.  It may not be &#34;necessary&#34; to have Alexa, but I am always surprised at how often we use her assistance.  It's nice and worth it to us.  I never hesitate to update my reviews should new info seem useful.",1,5.0
Too short. Buzzed. Wont allow messages to be left on phone.,0,2.0
Is not too cheap just right that perfect works great,1,5.0
sound is very low if you want to try these headphones out b4 spending $130 honest I have a $15 Sony MDRZX110/BLK ZX Series Stereo Headphones (Black)they sound exactly the same so if you think you want these $130 headphones go and try these Sony MDRZX110/BLK ZX Series Stereo Headphones (Black)if you like the sound then go spend $130 on the bluetooth version these headphones only pair to one device at a time and I noticed it will cut out every once in awhile when the song changes why I do not know  these are for sitting walk around or do anything they are on the floor,0,1.0
Hard to see. Does not compare to their pricer version.,0,1.0
I have no idea why these ear buds have any good reviews. The sound is not unlike putting a couple tin cans to your ears.,0,1.0
"easy to operate, easy to transfer files onto my laptop, files are in mp3 format; pick up low mumbling voices very well.",1,5.0
"I didn't expect to have to charge this item daily like a smartphone.  I've heard that using the power off button in the back may work better than the one on front, however that one is beneath the rubber seal which is a little bit of a hassle to get to and reseal.  Not worth the effort in my opinion;  I'm returning this speaker to try something else",0,1.0
This cable failed completely after only two week. Contacted Amazon and they responded very fast with a refund.  We may have to wait a week to receive some of our purchases even with prime. Amazon has stood behind all the purchases we make.,0,1.0
I boughtseveral differnt ones and this was theonly one that would n ot connect. All were Netgear.,0,2.0
I contacted CJ via email and he responded right away. My PC was nicely packaged and easy to set up because he pre-installed Windows on it. Thanks!,1,5.0
Great picture quailty,1,5.0
Fantastic deal on stickers! Great assortment!,1,5.0
I have a really pretty alligator bag I use when I travel (hoping to get to do that again soon!) and I wanted a sleeve to slip my laptop and table in.  This pink bag is pretty and functional. It is padded and velvet inside.  There is an outside side zipper pouch.  The top is also a zipper closure for the main opening.  It's lightweight and is made of a canvas (like?) material that seems easy to wipe off.  I never hesitate to update my reviews should new info seem useful and I will in this case I begin to use it more. (she says hopefully!),1,5.0
The color of the silicone covers makes them obviously stand out from the other remotes in my collection. Also it makes them easier to find if the remote gets misplaced.,1,5.0
"The volume and channel buttons light up, when you press the light button. This replaced my 14 year old Samsung remote.  Very easy to connect to the TV. The only CON is the volume button you have to press each time for up or down. If you hold down the button it does nothing. I also wish the channel buttons light up with the light. The preset channel button works really nicely with changing from one channel to the previous channel.",1,5.0
"This is a good price for a starter kit of 5 devices.  The program you install on your Smartphone is easy to install and looks like it works as intended.  Here's the problem I encountered.  Every time I tried to connect to my router I would get the message ""Only supported on 2.4 GHZ Wifi Networks"".  My router is dual band and I believe it broadcasts WiFi both in 2.4 and 5 GHZ.  Apparently these devices are not seeing the 2.4 GHZ and are looking at 5 GHZ and aren't able to connect or the Smartphone is connecting at 5Ghz and the device won't pair with the phone unless it is connected via 2.4Ghz.  I contacted support and they gave me this answer:  ""You will need to connect your mobile device to the 2.4Ghz Wifi for the app to connect to the devices when they are in the pairing modes. If you are unsure how to connect to the 2.4Ghz of the dual band router, you may need to log into the router to either turn on the 2.4Ghz WiFi or rename it so you know which connection is the 2.4Ghz. If you are unsure how to do so, you will need to contact your router manufacturer for assistance. Alternatively you can pair the devices via AP mode as indicated in the manuals of the devices.""  I don't know how to make the necessary changes in my router to be able pair the smartphone with the 2.4Ghz connection and I didn't want to take the time to learn how and potentially mess up my router and/or the way the Smartphone connects to my router. (It seems like I would need to change both.)  I tried the AP Mode that support mentioned, but it still would not connect; it would fail every time.  The whole setup seems just too complicated.  Also, they fail to tell you that at least on the water sensor, you have to twist open the device and remove the paper tab that prevents the battery from making contact, before you can set it up.  Am disappointed and surprised that no other reviewers had the 2.4 vs. 5 Ghz issue.  Not recommended unless you know all about how to set up your smartphone and router to connect at 2.4Ghz or unless they already are.",0,2.0
The AA batteries don’t  fit on the back slots. They only fit on the front side of the case.,0,1.0
I love the convenience of this product. I have had to buy magnetic tips as the tip connected to my phone has lost its magnetic connection twice when it popped off.,1,5.0
Bought two of these for wife & I - we needed something in the gym without a dangling wire being in the way. Only had them one week and work pretty good for the price I paid (preChristmas deal). They aren't met to bang loud bass in your ears (not at this price) but they do provide a decent sound and are clear enough at louder settings that they fit our need.,1,4.0
This item DOES NOT fit the ipad pro. UPDATE LISTING,0,1.0
great quality and price.,1,5.0
of course Apple changes again. Had to get these for a new MacBook that only had USB C input/outputs. These work great and are a good value for 3 of them.,1,5.0
I really like how easy it is to use. It literally was plug & use. Worth evey penny.,1,5.0
Having issues with screen freezing.,1,4.0
Disappointed that Seller claimed laptop had a matt screen ! It did not ! It had a Glossy screen ! Amazon refunded cost.,0,1.0
They don't put out any smell and you wouldn't know have scent until put right up to nose.,0,1.0
Doesn't fit. And cannot use the volume button w this on the kindle. Waste of money.,0,1.0
"You aren't getting much of a break when you buy 6, they don't include usb chargers or enough outdoor mounting posts.  Can't use 3rd party chargers , need arlo chargers.  The magnetic ball in socket posts are really for indoor use.  I wouldn't trust them up 3 stories in a  strong wind.  Router is on 3rd floor, but seems like range is like 75' on the ground from the router.  Software is so so, buggy as hell and no updates.  Mobile App is always ""Getting Status"".  Website always ""Request Timed Out"" after 30 seconds of video feed, you can't really monitor cameras for more than 30 seconds through their sucky website.  Don't rely on this is an emergency situation.  No real forward thinking people involved in the design, they probably just paid a contractor to slap something together, now that he's gone and profits are gone, they don't give a rats ass about updating the software.",0,2.0
"The magnovox portable speaker Is great for your home, this little box has quite the speaker. The NFC Bluetooth technology comes in handy for people who are not really familiar with their Bluetooth settings. As soon as you have the speaker added into your phones Bluetooth devices, you simple turn the speaker box on and it automatically connects to your phone.  The one thing I did not like about this box was when you plug the auxiliary cord into the box and into your phone, it makes a very loud ringing noise, so I recommend not using the cord. When playing music, the box does sound very clear though when you are paired through Bluetooth.  This box is also heavy for its size , you do not want to drop this on your foot! Ouch..",1,4.0
It is very cheaply made mouse. Sorry to say but it is.,0,1.0
"WELL MADE, GREAT PROTECTION FOR MY SURFACE PRO4 INCLUDING THE KEYBOARD AND STYLUS. HIGHLY RECOMMENDED! UPDATE OCTOBER 23, 2017 I NOTICED A FEW WEEKS AGO THAT THE FOLIO STAND WAS COMING APART! I TAKE EXCEPTIONAL CARE OF MY ELECTRONIC ITEMS AND STORE THEM IN CASES AND IN A TRAVEL BAG. THE FOLIO SEAM IS GLUED AND HAS SEPARATED! *AS A RESULT I HAVE LOWERED MY RATING FROM 5 STARS TO 2 STARS,*",0,2.0
Files would not reliably transfer to this micro SD card. Only a portion of the files transferred successfully. Faulty product.,0,1.0
So far so good.  It certainly makes the keys more visible.  I'm not sure about the adhesion yet.,1,5.0
"Went out to check my trail camera today. Put my SD card in my Wildgame Innovations Trail pad, the first five pictures out of 212 were of a giant 10. Transferred SD card from Trail pad to card reader for phone. Only to have every picture deleted! This is not the first time that this has happened. So in a fit of rage I ripped it in half and smashed it with my boot. Do not waste your money, if I could give it negative Stars I would.",0,1.0
This system is very limited. The sole aim appears to be to tempt you into laying your life bare for technology to prey on.,0,1.0
"So far, so good.  They are flat and white.  They seem really sturdy.  Time will tell.  They are flat, so they sort of resist coiling - just FYI - but that may also be why they'll last longer.  Having said all of that, I never hesitate to update my reviews should new info seem useful.",1,5.0
"You can never have enough USB cables, especially this type with the mini end on it, as most devices these days use this size.  What I especially like about this one is the length.  It is nearly 10 feet long (3 meters), so what you are plugging in can be some distance from your computer.  I also liked the fact that the cable is wrapped in braided nylon, so it seems very durable so it doesn't seem like it will kink up or easily wear out.  It claims fast changing capability, but I am not sure that it charged my smartphone any faster than any other cable.  The only downside that I can see at all is that this cable is rather pricey.  The price is somewhat justified by the length and quality of the cable.  If you want the best, buy this one and you aren't likely to need to replace it in a very long time, if ever.",1,5.0
Good,1,5.0
Very clear and really good sound and quality for the price.,1,5.0
"I have only burned about 4 of these DVDs before writing this review, but so far, no problems with any of them.  Over the years I have bought a lot of different brands of DVDs and CDs, but found sometimes there a bad one in the pack and also that some of them fail after a few years.  For that reason, I now usually only buy a few top brands.  I thought it was worth trying the Amazon brand disks, even if they aren't one of the brands that I normally buy.  From the looks of them, they appear to be made by a top manufacturer with acceptable quality and I fully expect them to last for a number of years.  Time will tell, but I think these are worth a try.  Note that the price is not the best price you can get.  This is only a pack of 30 and you can get a pack of 50 for about the same price with some other top brands.",1,5.0
So far it’s been working perfectly. I can’t wait to do more intricate drawings as I continue to learn how to use it best!,1,5.0
"When was the last time you broke a remote? I can't remember going back 30-40 years. Maybe one? So, you really don't need to protect a remote which is good because this is pretty thin and doesn't offer a lot of protection anyhow. It does add a bit of a cosmetic upgrade which isn't bad. However, no matter how you position and reposition it the buttons become a little mushy with the cover on. As you can see in the 2nd picture the buttons are below the level of the cover. It isn't pressing on any of the buttons but it does give them a soft feel when accessing them. Occasionally I've had to press the power twice to get everything to turn on. What this cover does not address which id should is the roundness of the back of the remote. The rubber does add a bit of traction to the shape but just reaching over and pressing the power button is difficult, The remote rolls. If they had added a bit of squaring off material to make the case sit still so you could use it without having to pick it up, that would be a game changer. Keep the remote from rolling and wobbling on the table. How about that for an idea? I will probably keep the white one on for a while. I like the contrast and it matches the color of the work table I have my junk on. The black cover that came in this set. . . will remain unused. Remotes don't need to be protected, all the cover does is look nice'ish and make changing the battery a pain in the butt. Yeah, it was a pain to get on, it's going to be just as bad coming off. I hope the battery lasts a LONG time!  Edit -  I got tired of this cover making pushing the buttons on the remote difficult. It was annoying. Every button had to be pressed hard, often twice. The cover offered no real protection and, as I suspected, was a pain to remove. I've done so and tossed it. Not worth the hassle.",0,2.0
did not want braided cloth wire I wanted a waterproof conector or something similar to the original cable these get wet the water soaks thru the fabric and ruins the cable,0,1.0
I love my Arlo cameras! They work great when they are NEW (easy to setup) .. but fast forward a year later (NEW Netgear Router) .. and they WILL NOT connect ! I have reset everything .. uninstalled app .. re-installed They WILL NOT connect !@  (already 3+ hours into frustration) and of course .. support has run out ! Complete FAIL on re-setups .. brutal Netgear !,0,2.0
"Absolutely loved the color, feel, and clasp method of this band but it kept snagging on all my clothes!",0,1.0
Just a piece of plastic,0,2.0
"My husband enjoys listening to podcasts when mowing the lawn. He was very impressed with the noise canceling capabilities of these headphones. It was then that he realized that his previous headphones didn't have that feature. He said he they blocked out nearly all the sounds of the lawn mower. It also blocked out my voice when I called to him when usually he can hear me after a moment or so. These are light weight and comfortable to wear. It was simple to pair with his phone. He has had other Bluetooth headphones before, but these have been his favorite pair. The sound quality is good - though he tends to listen to podcasts rather than music with headphones.",1,5.0
"We are going to Universal Studios soon, and I was looking for a versatile bag to carry my camera and other necessities while in the parks. I was very surprised when I pulled this out of the box - even empty, this bag is incredibly bulky. And while the construction is sturdy, it's made from a material that almost reminds me of my old diaper bags. The word ""discreet"" is used in the marketing for this bag, and I can't imagine that at all. Even with my smaller camera and a few personal items, I am absolutely overtaken by this bag. The shape and design are also a bit odd & impractical - ie: placement of the pockets and definitely the extension for the strap are not ideal. Overall, this is a bag that wears you, not the other way around.",0,2.0
My wife -- who may not be a video expert but who uses this TV more than I do -- loves this TV. She says the picture is so good compared to our retired old Sony 720p that she wants to watch old movies again to see the detail she didn't see the first time.  The wifi connection works well and streams Prime and other services from the router two rooms away. Is very small and light. Has an annoying red light that flashes near the power button on the bottom whenever it's turned off.,1,5.0
